time	V(n001)	V(n002)
1.124743303571429e-003	0.000000e+000	2.826347e-001
1.127114955357143e-003	0.000000e+000	3.288811e-001
1.129486607142857e-003	0.000000e+000	3.721812e-001
1.131858258928571e-003	0.000000e+000	4.125348e-001
1.134229910714286e-003	0.000000e+000	4.499421e-001
1.136601562500000e-003	0.000000e+000	4.844031e-001
1.140507812500000e-003	0.000000e+000	5.327479e-001
1.144414062500000e-003	0.000000e+000	5.712848e-001
1.148320312500000e-003	0.000000e+000	5.998135e-001
1.152226562500000e-003	0.000000e+000	6.182909e-001
1.154179687500000e-003	0.000000e+000	6.237886e-001
1.156132812500000e-003	0.000000e+000	6.268257e-001
1.158085937500000e-003	0.000000e+000	6.274384e-001
1.160039062500000e-003	0.000000e+000	6.256711e-001
1.161992187500000e-003	0.000000e+000	6.215766e-001
1.163945312500000e-003	0.000000e+000	6.152152e-001
1.165898437500000e-003	0.000000e+000	6.066548e-001
1.167851562500000e-003	0.000000e+000	5.959700e-001
1.169804687500000e-003	0.000000e+000	5.832425e-001
1.171757812500000e-003	0.000000e+000	5.685596e-001
1.173710937500000e-003	0.000000e+000	5.520146e-001
